,players,times,platform,region,emulated,date,comment,videos
50,['ChrisLBC'],2046,PlayStation 2,USA / NTSC,False,2016-12-23,Our hero takes a rest.,['https://www.twitch.tv/superiorwarbringer/v/109455370']
51,['Lukasfrost9'],2071,PlayStation,USA / NTSC,True,2018-11-21,,['https://www.twitch.tv/videos/334283919']
52,['notvanni'],2124,PlayStation 2,USA / NTSC,False,2016-12-23,,['https://www.twitch.tv/notvanni/v/109435429']
53,['pylorian'],2125,PlayStation,USA / NTSC,True,2017-02-24,ePSXe 1.9.25,['https://www.youtube.com/watch?v=8cR7uhkcLXE']
54,['Aetherism'],2128,PlayStation,USA / NTSC,True,2021-10-10,Mednafen,['https://www.twitch.tv/videos/1173261843']
55,['CFGamebreaker'],2183,PlayStation 2,USA / NTSC,False,2022-03-13,"This run was beyond lucky, probably will never beat it unless i decide to actually learn the category. Thanks Derek for teaching me boar proxy in the Molten Crater loading screen.",['https://youtu.be/yZuOQnHgEJw']
56,['Peacock1995'],2187,PlayStation,USA / NTSC,True,2018-12-24,epsxe 2.0.0,['https://www.youtube.com/watch?v=uHCXLdnocDQ']
57,['Shaw8b'],2190,PlayStation 2,USA / NTSC,False,2018-08-23,"

(Modified final split time to reflect late end split. ~Caitelady)",['https://www.youtube.com/watch?v=VVcW1WXJ0DQ&feature=youtu.be']
58,['The_Kampfi'],2204,PlayStation,USA / NTSC,True,2020-06-23,"Retimed it, really glad that i PBed at Spyrothon!!

Mod Note: ePSXe 2.0.0 ~Jeremy",['https://www.twitch.tv/videos/658870849']
59,['Dingoosh'],2205,PlayStation 2,USA / NTSC,False,2019-06-11,,['https://youtu.be/FCWnaF-XR1E']
60,['Crash41596'],2213,PlayStation 2,USA / NTSC,False,2014-07-21,,[]
61,['ParkerSan'],2225,PlayStation,USA / NTSC,True,2016-02-25,Ice proxy in Frozen Altars lol,['http://www.twitch.tv/parker_san/v/50433945']
62,['Lusther'],2268,PlayStation,USA / NTSC,True,2020-02-23,The time is not 100% accurate (i probably splited a bit late),['https://www.youtube.com/watch?v=sCtlT1vmDMk&t=1s']
63,['El_reymono'],2283,PlayStation,USA / NTSC,True,2022-05-23,Mednafen 1.29.0,['https://www.twitch.tv/videos/1491514476']
64,['f1'],2320,PlayStation 2,USA / NTSC,False,2020-08-21,Solid 10 minute pb,['https://www.twitch.tv/videos/716855796']
65,['crash'],2395,PlayStation 2,USA / NTSC,False,2017-08-10,consistency never,['https://www.twitch.tv/videos/165837165']
66,['Morgan'],2401,PlayStation,USA / NTSC,True,2021-03-09,"A true comedy masterclass. Fun category though.

Played on ePSXe 2.0.0.",['https://drive.google.com/file/d/17KOqZoEwWvBrWOvMC3rW2DeFxSQB8XLV/view?usp=sharing']
67,['HolySanctum'],2412,PlayStation 2,USA / NTSC,False,2016-08-26,"Really improving, not sure where to go from here though.",['https://www.youtube.com/watch?v=TjT7hVcL0Fs']
68,['quietdudek'],2444,PlayStation 2,EUR / PAL,False,2022-05-30,,['https://www.twitch.tv/videos/1312656767']
69,['Markedanje'],2500,PlayStation,EUR / PAL,True,2017-02-11,,[]
70,['Caitelady'],2508,PlayStation 2,USA / NTSC,False,2016-12-29,,['https://www.twitch.tv/caitelady/v/110596192']
71,['XandoToaster'],2519,PlayStation,USA / NTSC,False,2021-04-18,"finally decided to move out of basically last place

played on ps1 console (model 1001)",['https://www.twitch.tv/videos/992433697']
72,['toopercentmilk'],2613,PlayStation 2,USA / NTSC,False,2018-05-25,,['https://www.twitch.tv/videos/265163081']
73,['Cahz'],2622,PlayStation,USA / NTSC,True,2016-12-26,"""Our Hero Takes A Rest""",['https://www.twitch.tv/itscahz/v/109861403']
74,['DistantSun'],2714,PlayStation,USA / NTSC,True,2014-07-21,,[]
75,['Kid_the_Auns'],2716,PlayStation 3,USA / NTSC,False,2022-01-06,Yatta Spyro 3 any helmet is free fuck evening ,['https://www.twitch.tv/videos/1254869444']
76,['PortWein'],2765,PlayStation,USA / NTSC,True,2018-09-06,"That was crazy, but I did my first sub 50! I need to take a break for some months. Played on epsxe 2.0.0",['https://youtu.be/wmeW4OID6BI']
77,['Podz'],2797,PlayStation,USA / NTSC,True,2022-01-10,"ePSXe 2.0
Cool ig",['https://www.youtube.com/watch?v=aCZk5d5APNM']
78,['Hummeldon'],2821,PlayStation 2,USA / NTSC,False,2016-12-23,,['https://www.twitch.tv/hummeldon/v/109307539']
79,['AdamTheDragon1234'],2843,PlayStation 2,USA / NTSC,False,2021-01-25,,['https://www.twitch.tv/videos/887819834']
80,['Cyclone637'],2846,PlayStation,USA / NTSC,True,2016-12-23,"Did this for Jeremy's wish.

~Played on ePSXe 1.9.25",[]
81,['DodgeTheDuck'],2877,PlayStation,EUR / PAL,True,2014-07-21,,[]
82,['MegaStorm11'],2908,PlayStation,USA / NTSC,True,2021-08-05,"ePSXe 2.0.0

found new tricks SWEEP World 2 but almost F everything at the end but the clutch strats always works ^^",['https://www.twitch.tv/videos/1108554839']
83,['Nelli'],2957,PlayStation 3,EUR / PAL,False,2015-09-27,"So this was my 1st real run on the game, still have lots of stuff to work on.

Splits: http://imgur.com/SdCIINt.png",[]
84,['Cyberdemon531'],3089,PlayStation 2,USA / NTSC,False,2017-08-13,,['https://www.youtube.com/watch?v=ecG26QHDVrM']
85,['Cynaschism'],3117,PlayStation,USA / NTSC,True,2016-12-28,Getting there...,['https://www.twitch.tv/cynaschism/v/110341844']
86,['texensis'],3128,PlayStation,USA / NTSC,True,2022-04-11,"insane

run on latest duckstation vers
 
retimed ~waffle",['https://youtu.be/E4xdwCvfGwI']
87,['KoolAidanMan'],3182,PlayStation 2,USA / NTSC,False,2020-01-01,HELMET is FUCKING EASY,['https://www.twitch.tv/videos/529504851']
88,['CDRomatron'],3217,PlayStation 2,EUR / PAL,False,2021-03-12,,['https://www.twitch.tv/videos/962364836']
89,['FraserNotFrasier'],3235,PlayStation,USA / NTSC,True,2016-11-02,"PB by 19mins PogChamp
emulator used: epsxe 1.9.25
http://imgur.com/a/OJCoW
I'll probably start streaming and/or recording any% soon(tm)",[]
90,['DarkLeviathan8'],4056,PlayStation 2,USA / NTSC,False,2016-12-22,"This one is for you, Jeremy.

I will definitely improve this run over the time though.",['http://imgur.com/nshVUYI']
91,['ThrasherDBS'],4173,PlayStation 2,USA / NTSC,False,2021-09-28,>tfw you take longer to get into Bentley than getting into Sorceress,['https://www.twitch.tv/videos/1161499395']
92,['Rayleigh'],4773,PlayStation 2,USA / NTSC,False,2022-01-07,,['https://www.twitch.tv/videos/1258533417']
93,['Stuart0000'],4788,PlayStation 2,USA / NTSC,False,2016-12-23,Goodnight Jeremy.,['https://www.twitch.tv/stuart0000/v/109397400']
94,['dassb'],5033,PlayStation,USA / NTSC,True,2016-12-23,"timer started early so i took off 3 seconds

epsxe 2.0.0",['https://www.twitch.tv/itsbloontasty/v/109377859']
95,['ikkatosh23'],21459,PlayStation 2,USA / NTSC,False,2015-08-08,"(Jeremy said I could submit this) (He's a lamb <3)

Splits: http://imgur.com/RZdlAV2.png",[]
